,variety
72434,Rosé
49619,Cabernet Sauvignon
124393,Cabernet Sauvignon
7155,Gewürztraminer
114628,Rhône-style Red Blend
13422,Red Blend
78247,Red Blend
59494,Portuguese White
116189,Gewürztraminer
103293,Pinot Noir
87497,Pinot Gris
79169,Gewürztraminer
96239,Merlot
17745,Pinot Noir
23247,Cabernet Sauvignon
23023,Red Blend
103474,Riesling
38177,Merlot
124686,Chardonnay
3940,Malbec
36787,Cabernet Sauvignon
47099,Chardonnay
112725,Pinot Grigio
55257,Port
103231,Red Blend
81774,Pinot Noir
88667,Chardonnay
114626,Tempranillo
16855,Zinfandel
58077,Cabernet Sauvignon
53086,Sauvignon
66842,Sparkling Blend
36167,Nero d'Avola
46255,Pinot Noir
69850,Rhône-style Red Blend
112357,Sauvignon Blanc
94087,Gewürztraminer
123534,White Blend
70225,Riesling
49496,Petit Verdot
55694,Viognier
120251,Zinfandel
47625,Chardonnay
32411,Red Blend
110676,Red Blend
57878,Chardonnay
30179,Red Blend
109897,Bordeaux-style Red Blend
49146,Pinot Noir
89069,Pinot Noir
90461,Rhône-style Red Blend
50437,Pinot Grigio
124899,Sparkling Blend
58850,Red Blend
6052,Zinfandel
40745,Grüner Veltliner
67898,Red Blend
36773,Red Blend
39701,Melon
99549,Pinot Noir
61855,Bordeaux-style Red Blend
81472,Champagne Blend
82381,Rosé
37816,Chardonnay
54354,Riesling
97494,Pinot Noir
79253,Rosé
71300,Cabernet Sauvignon
12411,Petite Sirah
98037,Sangiovese
118397,Pinot Noir
47636,Tempranillo Blend
21960,Pinot Noir
79555,Merlot
19419,Sauvignon Blanc
13726,Red Blend
29869,Bordeaux-style Red Blend
21997,Petit Verdot
56780,Cabernet Franc
69392,Champagne Blend
119528,Chardonnay
45482,Cabernet Sauvignon
53232,Bordeaux-style Red Blend
36538,Pinot Noir
103144,Merlot
61197,Sauvignon Blanc
109401,Zinfandel
12798,Chardonnay
78725,Pinot Noir
68325,Chardonnay
94155,Bordeaux-style Red Blend
118264,Syrah
23893,Rosé
9807,Portuguese White
51645,Sauvignon Blanc
57958,Petite Sirah
17560,Portuguese White
89366,Pinot Bianco
86654,Nebbiolo
84526,Pinot Noir
77712,Syrah
84331,Cabernet Sauvignon
64616,Bordeaux-style Red Blend
3618,Malbec
94003,Zinfandel
116803,Merlot
63529,Merlot
14320,Pinot Noir
112408,Cabernet Franc
52479,Riesling
59484,Rosé
88445,Riesling
81611,Rosé
25580,Viura
110873,Rosé
20519,Pinot Noir
48491,Pinot Noir
88335,Gamay
121237,Syrah
126642,Riesling
24872,Chardonnay
99531,Red Blend
53921,Melon
64761,Chardonnay
97813,Merlot
10801,Sauvignon Blanc
27075,Riesling
104030,Petit Verdot
123959,Pinot Noir
127463,Rhône-style White Blend
76404,Chardonnay
34819,Portuguese Red
116451,Bordeaux-style Red Blend
98796,Pinot Gris
41638,Cabernet Sauvignon
91496,Riesling
121298,White Blend
80797,Sparkling Blend
83975,Syrah
68961,Cabernet Franc
50865,Pinot Grigio
28764,Cabernet Sauvignon
44548,Gamay
102207,Sauvignon Blanc
122718,Pinot Gris
90363,Chenin Blanc
96201,Rosé
58091,Red Blend
126317,Pinot Noir
95496,Grenache
52447,Red Blend
53093,Sangiovese
96923,White Blend
53289,Red Blend
119236,Viognier
27289,Sauvignon Blanc
90445,Cabernet Sauvignon
67141,Rosé
32739,Nebbiolo
46661,Verdejo
9206,Syrah
47001,Rosé
89103,Sparkling Blend
15562,Riesling
114764,Red Blend
24781,White Blend
4541,White Blend
14200,Pinot Noir
89197,Red Blend
95943,Pinot Grigio
7742,Pinot Gris
66370,Sauvignon Blanc
101548,Shiraz
11418,Sauvignon Blanc
86182,Portuguese Red
75504,Chardonnay
125360,Chardonnay
5575,Sauvignon Blanc
108017,Merlot
78723,Sangiovese
124077,Red Blend
2216,Pinot Gris
69524,Red Blend
87051,Chardonnay
49391,Sauvignon Blanc
96892,Cabernet Sauvignon
87298,Syrah
25284,Viognier
40128,Glera
69420,White Blend
112393,Pinot Noir
30293,Syrah
109888,Sauvignon Blanc
109170,Malbec
87488,Gewürztraminer
53125,Merlot
127508,Pinot Noir
88951,Albariño
114319,Sauvignon Blanc
29929,Red Blend
29085,Riesling
97360,Chardonnay
29113,Barbera
13901,Cabernet Sauvignon
75091,Syrah
53459,Sauvignon Blanc
33536,Chardonnay
86296,Zinfandel
52109,Nebbiolo
108026,G-S-M
71442,Chenin Blanc
87314,Cabernet Sauvignon
18403,Chardonnay
30377,Cabernet Sauvignon
109577,Pinot Noir
125549,Zinfandel
21923,Rosé
12381,Gewürztraminer
89999,Montepulciano
13705,Petit Verdot
97180,Merlot
46127,Cabernet Sauvignon
79060,Chardonnay
110019,Tempranillo
53306,Sauvignon Blanc
44174,Syrah
13403,"Corvina, Rondinella, Molinara"
86844,Sauvignon Blanc
32253,Riesling
49212,Cabernet Sauvignon
87850,Cabernet Sauvignon
588,Chardonnay
98904,Pinot Noir
96200,Albariño
102408,Turbiana
67137,Grüner Veltliner
64777,Rosé
98127,Cabernet Franc
124627,Carmenère
32247,Pinot Gris
21438,Sauvignon Blanc
99791,Pinot Noir
87324,Petite Sirah
26064,Pinot Noir
24946,Riesling
77927,Cabernet Sauvignon
40240,Cabernet Sauvignon
42844,Malbec
104115,Rosé
8798,Pinot Noir
50024,Pinot Noir
81098,Sauvignon Blanc
49614,Pinot Noir
66333,Merlot
23545,Chardonnay
75007,Merlot
113268,Montepulciano
89844,Nebbiolo
27348,Cabernet Sauvignon
111963,Pinot Noir
109039,Chardonnay
26500,Chardonnay
91714,Pinot Noir
64968,Sparkling Blend
20961,Riesling
86082,Merlot
68157,Pinot Noir
2846,Red Blend
69551,Verdejo
68998,Sangiovese
18879,Tempranillo
82781,Pinot Blanc
68257,Tempranillo
121394,White Blend
30291,Pinot Grigio
85810,Syrah
21398,Cabernet Franc
97214,Zinfandel
25860,Red Blend
78228,Bordeaux-style Red Blend
116935,Gewürztraminer
68303,Red Blend
70471,Bordeaux-style Red Blend
61040,Blaufränkisch
70399,Pinot Noir
78789,Riesling
109789,Pinot Noir
97562,Sauvignon Blanc
22438,Sangiovese
91128,Sparkling Blend
86495,Rhône-style Red Blend
35585,Red Blend
17844,Rhône-style Red Blend
89225,Red Blend
90709,Nebbiolo
123276,Cabernet Sauvignon
57020,Cabernet Sauvignon
62072,Sauvignon Blanc
37929,Sauvignon Blanc
2398,Rosé
93471,White Blend
39953,Bordeaux-style Red Blend
45543,Bordeaux-style Red Blend
106753,Syrah
108716,Pinot Noir
15254,Champagne Blend
26057,Rosé
97413,Cabernet Sauvignon
2783,Pinot Noir
16379,Rhône-style Red Blend
114042,Cabernet Sauvignon
121650,Chardonnay
97556,Riesling
11100,Sangiovese
91780,Cabernet Sauvignon
83713,Malbec
84276,Chardonnay
95442,Pinot Noir
14894,Turbiana
